
---- CODIGOS SHANNON FANO ----

CARACTER -----     PROBABILIDAD     ------     CODIGO     -----     INFORMACION     -----     ENTROPIA TOTAL     -----     LONG MEDIA     ----     RENDIMIENTO     --- REDUNDANCIA

- que -			0,058				00000 			 4,118			 9,228				 9,307			 0,992		 0,008
- mar -			0,000				101010110101 			 11,563				- 					- 
- algunas -			0,000				10101011011 			 11,563				- 					- 
- nuestros -			0,000				101010111000 			 11,563				- 					- 
- señal -			0,000				101010111001 			 11,563				- 					- 
- voces -			0,000				10101011101 			 11,563				- 					- 
- siempre -			0,000				10101011110 			 11,563				- 					- 
- acaso -			0,000				10101011111 			 11,563				- 					- 
- hubo -			0,000				101011000000 			 11,563				- 					- 
- tiene -			0,000				101011000001 			 11,563				- 					- 
- cristiano -			0,000				101011000010 			 11,563				- 					- 
- cabo -			0,000				101011000011 			 11,563				- 					- 
- ciudad -			0,000				101011000100 			 11,563				- 					- 
- medio -			0,000				101011000101 			 11,563				- 					- 
- fueron -			0,000				10101100011 			 11,563				- 					- 
- temor -			0,000				101011001000 			 11,563				- 					- 
- cuatro -			0,000				101011001001 			 11,563				- 					- 
- razones -			0,000				10101100101 			 11,563				- 					- 
- mano -			0,000				101011001100 			 11,563				- 					- 
- hicieron -			0,000				101011001101 			 11,563				- 					- 
- pasado -			0,000				10101100111 			 11,563				- 					- 
- mitad -			0,000				101011010000 			 11,563				- 					- 
- tenía, -			0,000				101011010001 			 11,563				- 					- 
- verse -			0,000				10101101001 			 11,563				- 					- 
- esperar -			0,000				101011010100 			 11,563				- 					- 
- vez -			0,000				101011010101 			 11,563				- 					- 
- señor, -			0,000				10101101011 			 11,563				- 					- 
- estas -			0,000				101011011000 			 11,563				- 					- 
- mayor -			0,000				101011011001 			 11,563				- 					- 
- cual, -			0,000				10101101101 			 11,563				- 					- 
- camarada -			0,000				10101101110 			 11,563				- 					- 
- han -			0,000				10101101111 			 11,563				- 					- 
- tantos -			0,000				101011100000 			 11,563				- 					- 
- dónde -			0,000				101011100001 			 11,563				- 					- 
- tus -			0,000				10101110001 			 11,563				- 					- 
- vida, -			0,000				101011100100 			 11,563				- 					- 
- tanta -			0,000				101011100101 			 11,563				- 					- 
- intención -			0,000				10101110011 			 11,563				- 					- 
- franceses -			0,000				101011101000 			 11,563				- 					- 
- vuestro -			0,000				101011101001 			 11,563				- 					- 
- hermano, -			0,000				10101110101 			 11,563				- 					- 
- puso -			0,000				101011101100 			 11,563				- 					- 
- resolución, -			0,000				101011101101 			 11,563				- 					- 
- fuesen -			0,000				10101110111 			 11,563				- 					- 
- sólo -			0,000				101011110000 			 11,563				- 					- 
- todos, -			0,000				101011110001 			 11,563				- 					- 
- Quijote -			0,000				10101111001 			 11,563				- 					- 
- veces -			0,000				101011110100 			 11,563				- 					- 
- voz -			0,000				101011110101 			 11,563				- 					- 
- arábigo, -			0,000				10101111011 			 11,885				- 					- 
- dineros -			0,000				101011111000 			 11,885				- 					- 
- rescate; -			0,000				101011111001 			 11,885				- 					- 
- llaman -			0,000				10101111101 			 11,885				- 					- 
- rescate -			0,000				101011111100 			 11,885				- 					- 
- perlas -			0,000				101011111101 			 11,885				- 					- 
- venia -			0,000				10101111111 			 11,885				- 					- 
- Si -			0,000				101100000000 			 11,885				- 					- 
- Digo, -			0,000				101100000001 			 11,885				- 					- 
- solo -			0,000				101100000010 			 11,885				- 					- 
- turcos, -			0,000				101100000011 			 11,885				- 					- 
- yerbas, -			0,000				101100000100 			 11,885				- 					- 
- compañeros, -			0,000				101100000101 			 11,885				- 					- 
- ventana, -			0,000				101100000110 			 11,885				- 					- 
- mucho -			0,000				101100000111 			 11,885				- 					- 
- barca; -			0,000				101100001000 			 11,885				- 					- 
